id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,video[0].url,video[0].tag[0],address.city,address.country,address.neighborhoods,address.postal_code,address.region,address.street_address,gtin,product_tags[0],product_tags[1],availability_polygon_coordinates[0].latitude,availability_polygon_coordinates[0].longitude,availability_polygon_coordinates[1].latitude,availability_polygon_coordinates[1].longitude,availability_polygon_coordinates[2].latitude,availability_polygon_coordinates[2].longitude,availability_polygon_coordinates[3].latitude,availability_polygon_coordinates[3].longitude,availability_circle_origin.latitude,availability_circle_origin.longitude,availability_circle_radius_unit,availability_circle_radius,style[0]
550e8400-e29b-41d4-a716-446655400001,Coca-Cola Original Taste 330g,Coca-Cola Original Taste 330g,in stock,new,0.99 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400001,https://images.sumup.com/img_coca-cola_original_t_330,Coca-Cola,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400002,Coca-Cola Original Taste 500g,Coca-Cola Original Taste 500g,in stock,new,1.29 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400002,https://images.sumup.com/img_coca-cola_original_t_500,Coca-Cola,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400003,Coca-Cola Original Taste 1000ml,Coca-Cola Original Taste 1000ml,in stock,new,1.99 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400003,https://images.sumup.com/img_coca-cola_original_t_1000,Coca-Cola,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400004,Coca-Cola Original Taste 1500ml,Coca-Cola Original Taste 1500ml,in stock,new,2.49 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400004,https://images.sumup.com/img_coca-cola_original_t_1500,Coca-Cola,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400005,Pepsi Max 330g,Pepsi Max 330g,in stock,new,0.99 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400005,https://images.sumup.com/img_pepsi_max_330,Pepsi,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400006,Pepsi Max 500g,Pepsi Max 500g,in stock,new,1.29 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400006,https://images.sumup.com/img_pepsi_max_500,Pepsi,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400007,Pepsi Max 1500ml,Pepsi Max 1500ml,in stock,new,2.49 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400007,https://images.sumup.com/img_pepsi_max_1500,Pepsi,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400008,Fanta Orange 330g,Fanta Orange 330g,in stock,new,0.89 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400008,https://images.sumup.com/img_fanta_orange_330,Fanta,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400009,Fanta Orange 500g,Fanta Orange 500g,in stock,new,1.19 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400009,https://images.sumup.com/img_fanta_orange_500,Fanta,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400010,Sprite Zero 330g,Sprite Zero 330g,in stock,new,0.99 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400010,https://images.sumup.com/img_sprite_zero_330,Sprite,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400011,Sprite Zero 500g,Sprite Zero 500g,in stock,new,1.29 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400011,https://images.sumup.com/img_sprite_zero_500,Sprite,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400012,Dr Pepper 330g,Dr Pepper 330g,in stock,new,1.09 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400012,https://images.sumup.com/img_dr_pepper_330,Dr Pepper,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400013,Dr Pepper 500g,Dr Pepper 500g,out of stock,new,1.39 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400013,https://images.sumup.com/img_dr_pepper_500,Dr Pepper,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400014,7UP Lemon & Lime 330g,7UP Lemon & Lime 330g,in stock,new,0.89 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400014,https://images.sumup.com/img_7up_lemon_&_lime_330,7UP,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400015,7UP Lemon & Lime 500g,7UP Lemon & Lime 500g,in stock,new,1.19 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400015,https://images.sumup.com/img_7up_lemon_&_lime_500,7UP,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400016,Tango Orange 330g,Tango Orange 330g,in stock,new,0.95 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400016,https://images.sumup.com/img_tango_orange_330,Tango,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400017,Rio Tropical 330g,Rio Tropical 330g,in stock,new,1.05 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400017,https://images.sumup.com/img_rio_tropical_330,Rio,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400018,Irn-Bru Original 330g,Irn-Bru Original 330g,in stock,new,0.99 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400018,https://images.sumup.com/img_irn-bru_original_330,,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400019,Irn-Bru Original 500g,Irn-Bru Original 500g,in stock,new,1.29 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400019,https://images.sumup.com/img_irn-bru_original_500,,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400020,Vimto Original 330g,Vimto Original 330g,in stock,new,0.89 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400020,https://images.sumup.com/img_vimto_original_330,,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400021,Vimto Original 500g,Vimto Original 500g,in stock,new,1.19 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400021,https://images.sumup.com/img_vimto_original_500,,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400022,Evian Natural Mineral Water 500g,Evian Natural Mineral Water 500g,in stock,new,0.99 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400022,https://images.sumup.com/img_evian_natural_minera_500,Evian,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550e8400-e29b-41d4-a716-446655400023,Evian Natural Mineral Water 750g,Evian Natural Mineral Water 750g,in stock,new,1.19 GBP,https://example.com/product/550e8400-e29b-41d4-a716-446655400023,https://images.sumup.com/img_evian_natural_minera_750,Evian,Soft Drinks • Water • Shakes,Soft Drinks • Water • Shakes,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
